countriesAndTerritories,Medicos por 10000 habitantes 2019,Medicos por 10000 habitantes 2020,day,month,year,cases,deaths,continentExp
Afghanistan,2.125,2.538,14,12,2020,746,6,Asia
Afghanistan,2.125,2.538,13,12,2020,298,9,Asia
Afghanistan,2.125,2.538,12,12,2020,113,11,Asia
Afghanistan,2.125,2.538,11,12,2020,63,10,Asia
Afghanistan,2.125,2.538,10,12,2020,202,16,Asia
Afghanistan,2.125,2.538,9,12,2020,135,13,Asia
Afghanistan,2.125,2.538,8,12,2020,200,6,Asia
Afghanistan,2.125,2.538,7,12,2020,210,26,Asia
Afghanistan,2.125,2.538,6,12,2020,234,10,Asia
Afghanistan,2.125,2.538,5,12,2020,235,18,Asia
Afghanistan,2.125,2.538,4,12,2020,119,5,Asia
Afghanistan,2.125,2.538,3,12,2020,202,19,Asia
Afghanistan,2.125,2.538,2,12,2020,400,48,Asia
Afghanistan,2.125,2.538,1,12,2020,272,11,Asia
Afghanistan,2.125,2.538,30,11,2020,0,0,Asia
Afghanistan,2.125,2.538,29,11,2020,228,11,Asia
Afghanistan,2.125,2.538,28,11,2020,214,15,Asia
Afghanistan,2.125,2.538,27,11,2020,0,0,Asia
Afghanistan,2.125,2.538,26,11,2020,200,12,Asia
Afghanistan,2.125,2.538,25,11,2020,185,13,Asia
Afghanistan,2.125,2.538,24,11,2020,246,17,Asia
Afghanistan,2.125,2.538,23,11,2020,252,8,Asia
Afghanistan,2.125,2.538,22,11,2020,154,12,Asia
Afghanistan,2.125,2.538,21,11,2020,232,25,Asia
Afghanistan,2.125,2.538,20,11,2020,282,5,Asia
Afghanistan,2.125,2.538,19,11,2020,0,0,Asia
Afghanistan,2.125,2.538,18,11,2020,383,13,Asia
Afghanistan,2.125,2.538,17,11,2020,65,6,Asia
Afghanistan,2.125,2.538,16,11,2020,163,9,Asia
Afghanistan,2.125,2.538,15,11,2020,205,12,Asia
Afghanistan,2.125,2.538,14,11,2020,66,10,Asia
Afghanistan,2.125,2.538,13,11,2020,360,14,Asia
Afghanistan,2.125,2.538,12,11,2020,146,4,Asia
Afghanistan,2.125,2.538,11,11,2020,0,0,Asia
Afghanistan,2.125,2.538,10,11,2020,224,12,Asia
Afghanistan,2.125,2.538,9,11,2020,80,3,Asia
Afghanistan,2.125,2.538,8,11,2020,126,6,Asia
Afghanistan,2.125,2.538,7,11,2020,58,2,Asia
Afghanistan,2.125,2.538,6,11,2020,40,0,Asia
Afghanistan,2.125,2.538,5,11,2020,121,6,Asia
Afghanistan,2.125,2.538,4,11,2020,86,4,Asia
Afghanistan,2.125,2.538,3,11,2020,95,3,Asia
Afghanistan,2.125,2.538,2,11,2020,132,5,Asia
Afghanistan,2.125,2.538,1,11,2020,76,0,Asia
Afghanistan,2.125,2.538,31,10,2020,157,4,Asia
Afghanistan,2.125,2.538,30,10,2020,123,3,Asia
Afghanistan,2.125,2.538,29,10,2020,0,0,Asia
Afghanistan,2.125,2.538,28,10,2020,113,7,Asia
Afghanistan,2.125,2.538,27,10,2020,199,8,Asia
Afghanistan,2.125,2.538,26,10,2020,65,3,Asia
Afghanistan,2.125,2.538,25,10,2020,81,4,Asia
Afghanistan,2.125,2.538,24,10,2020,61,2,Asia
Afghanistan,2.125,2.538,23,10,2020,116,4,Asia
Afghanistan,2.125,2.538,22,10,2020,135,2,Asia
Afghanistan,2.125,2.538,21,10,2020,88,2,Asia
Afghanistan,2.125,2.538,20,10,2020,87,5,Asia
Afghanistan,2.125,2.538,19,10,2020,59,4,Asia
Afghanistan,2.125,2.538,18,10,2020,68,3,Asia
Afghanistan,2.125,2.538,17,10,2020,47,4,Asia
Afghanistan,2.125,2.538,16,10,2020,0,0,Asia
Afghanistan,2.125,2.538,15,10,2020,32,1,Asia
Afghanistan,2.125,2.538,14,10,2020,66,0,Asia
Afghanistan,2.125,2.538,13,10,2020,129,3,Asia
Afghanistan,2.125,2.538,12,10,2020,96,4,Asia
Afghanistan,2.125,2.538,11,10,2020,0,0,Asia
Afghanistan,2.125,2.538,10,10,2020,10,1,Asia
Afghanistan,2.125,2.538,9,10,2020,77,2,Asia
Afghanistan,2.125,2.538,8,10,2020,68,1,Asia
Afghanistan,2.125,2.538,7,10,2020,62,2,Asia
Afghanistan,2.125,2.538,6,10,2020,145,5,Asia
Afghanistan,2.125,2.538,5,10,2020,44,0,Asia
Afghanistan,2.125,2.538,4,10,2020,7,4,Asia
Afghanistan,2.125,2.538,3,10,2020,5,0,Asia
Afghanistan,2.125,2.538,2,10,2020,17,0,Asia
Afghanistan,2.125,2.538,1,10,2020,14,0,Asia
Afghanistan,2.125,2.538,30,9,2020,15,2,Asia
Afghanistan,2.125,2.538,29,9,2020,12,3,Asia
Afghanistan,2.125,2.538,28,9,2020,0,0,Asia
Afghanistan,2.125,2.538,27,9,2020,35,0,Asia
Afghanistan,2.125,2.538,26,9,2020,6,2,Asia
Afghanistan,2.125,2.538,25,9,2020,16,0,Asia
Afghanistan,2.125,2.538,24,9,2020,25,5,Asia
Afghanistan,2.125,2.538,23,9,2020,71,2,Asia
Afghanistan,2.125,2.538,22,9,2020,30,3,Asia
Afghanistan,2.125,2.538,21,9,2020,0,0,Asia
Afghanistan,2.125,2.538,20,9,2020,125,4,Asia
Afghanistan,2.125,2.538,19,9,2020,47,1,Asia
Afghanistan,2.125,2.538,18,9,2020,0,0,Asia
Afghanistan,2.125,2.538,17,9,2020,17,0,Asia
Afghanistan,2.125,2.538,16,9,2020,40,10,Asia
Afghanistan,2.125,2.538,15,9,2020,99,6,Asia
