bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,yr_built,price
5,2.5,3650,9050,280,1921,2384000
3,2.25,2000,8030,1000,1963,420000
4,2.5,1940,10500,800,1976,550000
3,2.5,2430,88426,860,1985,452500
4,2.5,2920,4000,1010,1909,1400000
3,1.75,2330,14892,360,1980,588500
3,1.75,2240,10578,690,1923,750000
3,2.25,1750,1572,280,2005,626000
4,1.75,1600,6380,470,1959,495000
3,2.5,2090,10834,730,1987,285000
3,1.75,2360,7291,1000,1948,615000
4,2.25,2200,11250,900,1920,698000
3,2.5,2600,4750,900,1951,790000
4,2.5,2860,3345,670,2004,499950
4,2,1820,5000,180,1945,650000
4,2.5,3630,42884,1330,1979,400000
3,3,1850,19966,760,1992,287200
3,2,1960,13100,310,1957,403000
3,2.5,2390,6550,950,1955,750000
3,2,2710,4500,830,1929,805000
5,2.5,2210,9655,750,1976,470000
4,1.5,1920,10000,850,1954,430000
3,3.25,1320,1327,280,2008,385000
2,2.5,1630,1368,350,2009,295000
4,3.25,2730,54014,1170,2007,625000
3,2.5,1650,14054,520,1986,379880
3,2.5,2200,7350,630,1988,365000
4,2.5,2530,9933,520,1990,331950
3,2.5,2850,7130,860,1980,783500
4,2,2280,6010,1140,1900,628000
2,3,1270,1175,160,2000,531000
4,3,2170,4000,560,1982,831000
4,2.5,2120,10202,500,1960,755000
4,2.25,1990,7712,780,1973,627000
2,1,2540,7000,1220,1942,580000
3,2.25,1800,36704,440,1978,410000
4,3,2340,7048,1000,1979,485000
2,3,1410,1240,270,2006,405000
3,1.5,2160,9000,760,1949,650000
6,1.75,2920,5000,140,1908,823000
3,2,2350,5700,540,1939,770000
3,1.75,1560,5520,780,1944,524000
5,2.75,2740,8426,1370,1960,541125
5,2.5,3090,12750,1340,1968,384900
5,3.5,4010,8510,1160,1971,1395000
3,2.25,2010,6000,680,1975,570000
5,2,1840,9240,300,1942,435000
4,1,2070,7519,910,1963,501000
4,1,1390,4240,340,1924,657100
5,1.75,2550,71874,740,1960,525888
5,2.75,3190,16920,1500,1976,1030000
4,1.75,1970,9389,830,1960,379950
7,8,13540,307752,4130,1999,2280000
3,1.75,1880,6360,840,1945,600000
3,1.75,1920,9306,920,1984,245000
5,2,2050,10200,620,1956,210000
2,1,1770,8640,250,1949,585000
4,1.75,2300,11700,340,1977,615000
3,2,1800,5000,720,1942,618500
4,1.75,2010,9211,540,1977,487585
4,4.25,4420,5750,1010,2006,890000
3,2.25,1620,998,80,2010,415000
5,3.5,4490,6000,1290,2006,890000
4,2,1440,7680,240,1971,397000
3,1,1350,7740,490,1947,353000
3,1.75,1490,8366,480,1975,234000
3,1.75,1580,8151,480,1962,279900
3,1.5,1630,7475,470,1940,650000
4,2.75,3370,8103,1400,1970,1135000
4,2.5,1890,6156,910,1980,325000
4,2.25,2810,23400,1100,1958,407000
3,2.25,1640,14374,500,1963,362000
4,1.75,1500,11600,500,1955,379900
2,2.25,1230,929,210,2004,460000
5,2.5,2240,7770,900,1978,455000
4,3,2450,10117,870,1967,610000
4,3,3100,15480,700,1996,563000
4,2,2060,5000,1030,1949,612500
3,1.75,1850,7684,530,1979,218000
4,1.75,1840,10720,880,1958,404000
3,1,1510,6083,650,1940,313950
3,1.75,2130,6500,960,1954,575000
4,2.25,3490,6906,1210,1928,1225000
4,2.25,2260,29930,860,1977,599000
4,3.25,3760,10920,1360,1950,1580000
5,2.5,2910,9636,1220,1964,530000
3,2.5,2970,11985,1200,1995,525000
2,1.75,1660,6000,500,1942,484000
5,2.75,1800,3780,400,1926,533000
3,1.75,1900,5520,620,1982,385000
3,1.75,1690,7735,630,1976,197000
3,2.25,1980,8000,420,1974,295000
2,1.75,1170,2400,430,1903,499000
3,2.5,2200,1970,590,2008,1050000
5,3.75,2890,5000,1580,2006,390000
5,5,4490,10279,560,2013,1800000
5,2.25,2060,8632,1030,1962,255000
3,2.75,1540,6760,330,1980,503000
3,1.75,1840,10723,620,1974,310000
3,2.75,2520,5401,1160,1946,750000
9,4.5,3830,6988,1380,1938,599999
4,2.75,2410,9549,630,1956,758000
3,1.75,2070,37904,650,1973,310000
3,3,4120,60392,940,1994,560000
7,4.5,6210,8856,1450,1910,3200000
3,1.75,1580,9147,370,1967,515000
4,2.75,2600,6050,640,1949,749950
3,2,2350,5080,570,1929,568000
1,1,1100,4373,280,1947,250000
4,2,2510,13695,1230,1961,581000
3,2.5,2460,108900,600,1977,600000
5,2.5,2420,8560,800,1978,352000
3,1.75,1960,4788,870,1920,599000
4,2.5,3305,16164,1060,1922,492000
2,2.25,2550,5663,830,2011,630000
5,3.75,4130,226076,960,1985,900000
4,1.5,2310,13300,420,1950,1110000
4,2.5,2650,4316,1130,1905,705000
4,2.25,1890,5940,420,1963,940000
3,3,2270,5175,140,2002,640000
3,2,1610,4160,600,1917,485000
2,1,1640,17335,800,1978,379500
3,3,2960,5500,520,1937,1340000
3,1.75,1500,6180,440,1947,440000
3,1,1340,4284,260,1910,530000
3,2,2540,7200,940,1905,775000
3,1.75,1640,10762,510,1988,226500
5,1.75,3000,6000,1500,1958,380000
4,2.75,2140,13000,820,1968,409500
3,2,1760,6428,780,1942,690000
4,2,2210,8556,1000,1954,794154
3,1.5,1260,1270,220,2005,245000
5,4.5,4270,8076,870,2007,1532500
5,2.75,2410,5003,1000,2008,365000
2,1,1540,6872,720,1946,615000
5,2.5,3160,11470,1380,1971,980000
4,1.75,1730,8320,500,1977,258000
3,1,1670,4080,500,1967,533000
5,3,3040,9601,1070,1968,830000
3,1,1250,4620,100,1900,712000
3,2.5,1960,8000,670,1977,402000
2,2.5,1360,1349,310,1997,553650
