driver_gender,driver_age,driver_race,stop_duration,drugs_related_stop,violation,stop_outcome
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,16-30 Min,FALSE,Other,Arrest Driver
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,23,Black,0-15 Min,FALSE,Equipment,Citation
M,36,White,0-15 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,35,Black,0-15 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Citation
M,26,Asian,0-15 Min,FALSE,Speeding,Citation
F,39,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,36,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,0-15 Min,FALSE,Equipment,Citation
M,50,White,0-15 Min,FALSE,Speeding,Citation
F,47,White,0-15 Min,FALSE,Speeding,Citation
F,26,Asian,0-15 Min,FALSE,Speeding,Citation
M,52,White,0-15 Min,FALSE,Moving violation,Citation
M,50,Black,30+ Min,FALSE,Moving violation,Arrest Driver
F,38,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,41,White,0-15 Min,FALSE,Speeding,Citation
F,28,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,46,Black,30+ Min,FALSE,Moving violation,Citation
M,23,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,52,White,0-15 Min,FALSE,Moving violation,Citation
M,58,White,0-15 Min,FALSE,Speeding,Citation
M,27,White,0-15 Min,FALSE,Equipment,N/D
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,43,Asian,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,16-30 Min,TRUE,Equipment,Arrest Driver
M,17,White,30+ Min,TRUE,Equipment,Citation
M,28,Hispanic,30+ Min,FALSE,Moving violation,Arrest Driver
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,44,White,0-15 Min,FALSE,Moving violation,Citation
M,46,White,0-15 Min,FALSE,Equipment,Citation
M,33,White,0-15 Min,FALSE,Speeding,Citation
M,48,White,0-15 Min,FALSE,Speeding,Citation
M,34,White,0-15 Min,FALSE,Equipment,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
M,55,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,51,White,0-15 Min,FALSE,Speeding,Citation
F,45,White,0-15 Min,FALSE,Speeding,Citation
