driver_gender,driver_age,driver_race,stop_duration,drugs_related_stop,violation,stop_outcome
M,19,White,16-30 Min,FALSE,Other,Arrest Driver
M,50,Black,30+ Min,FALSE,Moving violation,Arrest Driver
M,26,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,23,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,17,White,16-30 Min,TRUE,Equipment,Arrest Driver
M,28,Hispanic,30+ Min,FALSE,Moving violation,Arrest Driver
M,30,White,30+ Min,FALSE,Speeding,Arrest Driver
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,44,White,30+ Min,FALSE,Other,Arrest Driver
M,44,White,30+ Min,FALSE,Other,Arrest Driver
M,49,White,30+ Min,TRUE,Moving violation,Arrest Driver
M,24,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,20,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,22,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,25,Black,16-30 Min,TRUE,Equipment,Arrest Driver
M,36,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,25,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,32,Hispanic,16-30 Min,FALSE,Moving violation,Arrest Driver
M,58,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
F,24,Black,16-30 Min,FALSE,Speeding,Arrest Passenger
M,18,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,19,White,16-30 Min,TRUE,Other,Arrest Passenger
M,31,White,30+ Min,FALSE,Other,Arrest Driver
M,18,White,16-30 Min,TRUE,Equipment,Arrest Passenger
M,29,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,42,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,42,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,21,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,50,White,16-30 Min,FALSE,Other,Arrest Driver
M,41,White,30+ Min,FALSE,Speeding,Arrest Driver
M,52,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,28,White,30+ Min,TRUE,Moving violation,Arrest Driver
M,18,Hispanic,0-15 Min,FALSE,Moving violation,Arrest Driver
M,18,Hispanic,0-15 Min,FALSE,Moving violation,Arrest Driver
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,22,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,29,White,30+ Min,FALSE,Speeding,Arrest Driver
M,44,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,28,White,30+ Min,FALSE,Equipment,Arrest Driver
M,20,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,38,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,31,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,47,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,49,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,51,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,31,White,30+ Min,FALSE,Moving violation,Arrest Passenger
M,23,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,23,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,44,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,44,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,23,White,30+ Min,FALSE,Moving violation,Arrest Driver
