driver_gender,driver_age,driver_race,is_arrested,stop_duration,drugs_related_stop,violation,stop_outcome
M,20,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,40,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,33,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,19,White,TRUE,16-30 Min,FALSE,Other,Arrest Driver
F,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,23,Black,FALSE,0-15 Min,FALSE,Equipment,Citation
M,36,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,35,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,35,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,26,Asian,FALSE,0-15 Min,FALSE,Speeding,Citation
F,39,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,26,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,36,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,26,White,FALSE,0-15 Min,FALSE,Equipment,Citation
M,50,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,47,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,26,Asian,FALSE,0-15 Min,FALSE,Speeding,Citation
M,52,White,FALSE,0-15 Min,FALSE,Moving violation,Citation
M,50,Black,TRUE,30+ Min,FALSE,Moving violation,Arrest Driver
F,38,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,26,White,TRUE,16-30 Min,FALSE,Moving violation,Arrest Driver
M,41,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,28,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,46,Black,FALSE,30+ Min,FALSE,Moving violation,Citation
M,23,White,TRUE,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,52,White,FALSE,0-15 Min,FALSE,Moving violation,Citation
M,58,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,27,White,FALSE,0-15 Min,FALSE,Equipment,N/D
F,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,43,Asian,FALSE,0-15 Min,FALSE,Speeding,Citation
M,24,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,17,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,17,White,TRUE,16-30 Min,TRUE,Equipment,Arrest Driver
M,17,White,FALSE,30+ Min,TRUE,Equipment,Citation
M,28,Hispanic,TRUE,30+ Min,FALSE,Moving violation,Arrest Driver
M,20,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,22,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,44,White,FALSE,0-15 Min,FALSE,Moving violation,Citation
M,46,White,FALSE,0-15 Min,FALSE,Equipment,Citation
M,33,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,48,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,34,White,FALSE,0-15 Min,FALSE,Equipment,Citation
M,27,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,55,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,24,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,51,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,45,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,29,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,47,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,36,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,24,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,32,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,29,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,41,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,33,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,31,Asian,FALSE,16-30 Min,FALSE,Speeding,Citation
M,28,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,37,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,40,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,37,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,20,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,67,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,25,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,48,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,42,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,30,White,TRUE,30+ Min,FALSE,Speeding,Arrest Driver
M,45,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,44,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,26,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
F,46,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,25,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,24,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,25,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,31,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,18,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,57,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,19,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,31,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,22,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,27,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,55,Asian,FALSE,0-15 Min,FALSE,Speeding,Citation
M,29,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,17,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,40,White,FALSE,0-15 Min,FALSE,Equipment,Warning
F,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,24,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,28,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,30,Black,TRUE,30+ Min,FALSE,Speeding,Arrest Driver
M,30,Black,TRUE,30+ Min,FALSE,Speeding,Arrest Driver
M,29,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,27,Black,FALSE,16-30 Min,FALSE,Equipment,Citation
M,34,Black,FALSE,0-15 Min,FALSE,Speeding,Citation
M,44,White,FALSE,30+ Min,FALSE,Equipment,Warning
M,25,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,44,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,45,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,51,White,FALSE,0-15 Min,FALSE,Registration/plates,Citation
M,30,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,40,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,44,White,TRUE,30+ Min,FALSE,Other,Arrest Driver
M,44,White,TRUE,30+ Min,FALSE,Other,Arrest Driver
M,49,White,TRUE,30+ Min,TRUE,Moving violation,Arrest Driver
M,23,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,41,White,FALSE,0-15 Min,FALSE,Speeding,Citation
F,18,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,41,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,22,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,20,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,41,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,32,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,29,Other,FALSE,0-15 Min,FALSE,Speeding,Citation
M,28,White,FALSE,16-30 Min,FALSE,Registration/plates,Citation
M,24,Black,FALSE,30+ Min,FALSE,Speeding,Citation
M,24,Black,TRUE,30+ Min,FALSE,Speeding,Arrest Driver
F,21,White,FALSE,0-15 Min,FALSE,Speeding,Citation
M,37,White,FALSE,0-15 Min,FALSE,Speeding,Citation
